06148;06;Tourrettes-sur-Loup;3993;25;33;1,79%;oui;96,55;;167762,03;167762,03;3;12;14;0;1;1;0
06149;06;La Trinit�;10085;25;643;15,56%;oui;0;exon�r�e;;;15;0;33;0;1;9;0
06155;06;Vallauris;26595;25;1219;8,84%;oui;30;;560473,13;;73;251;174;0;1;43;0
06157;06;Vence;19241;25;485;5,35%;oui;0;;363181,52;;49;43;36;0;1;15;0
06159;06;Villefranche-sur-Mer;5443;25;157;5,72%;;;;125335,97;;16;5;63;0;0;3;0
06161;06;Villeneuve-Loubet;14814;25;407;5,15%;oui;48,9;;556413,23;281413,23;30;139;167;0;0;0;0
07102;07;Guilherand-Granges;10968;20;379;6,95%;;;;119694,32;19194;1;138;0;0;0;24;13
07281;07;Saint-P�ray;7311;20;426;13,29%;;;;28006;28006;2;148;15;0;3;16;2
07319;07;Le Teil;8197;20;789;19,81%;;;;799,47;;7;180;19;0;30;22;12
10325;10;Rosi�res-pr�s-Troyes;3648;20;182;11,58%;;;;18233,6022;;1;49;97;0;0;0;0
11106;11;Coursan;6056;20;72;2,72%;;;;36560;;1;7;0;0;1;4;0
11145;11;Fleury;3812;20;21;0,99%;;;;31608,96;31608,96;1;13;1;0;1;4;0
11170;11;Gruissan;4631;20;137;4,68%;oui;150;;113260,25;;5;23;53;0;0;1;0
11202;11;Leucate;4148;20;219;8,16%;;;;30260,88;;1;8;0;0;0;2;0
11266;11;Port-la-Nouvelle;5653;20;530;18,04%;;;;11905,66;11905,66;6;26;60;0;1;1;0
11379;11;Sigean;5476;20;57;2,30%;;;;45778,92;45778,92;1;10;0;0;2;6;0
11429;11;Villemoustaussou;3942;20;117;6,45%;;;;28764,78;;20;53;6;0;0;2;0
12133;12;Luc-la-Primaube;5767;20;207;7,81%;;;;59094,23;;34;26;0;0;0;9;0
12202;12;Rodez;23744;20;1780;12,85%;;;;213922,49;;103;169;93;0;2;100;0
13001;13;Aix-en-Provence;141148;25;13663;18,91%;;;;1117223,94;1117223,94;192;3785;769;8856;2;59;0
13002;13;Allauch;20690;25;470;5,56%;oui;21;;285510,15;55510,15;0;263;83;124;0;0;0
13004;13;Arles;52439;25;5557;21,70%;;;exon�r�e;;;114;1286;75;3986;11;43;42
13007;13;Auriol;11621;25;337;6,84%;oui;53;;190052,09;190052,09;10;189;12;99;2;8;17
13010;13;Barbentane;3877;20;83;4,47%;;;;40083,84;40083,84;8;16;0;56;1;2;0
13015;13;Bouc-Bel-Air;13844;25;496;8,71%;;;;211231,36;211231,36;31;355;58;48;0;4;0
13016;13;La Bouilladisse;6022;25;67;2,72%;oui;95;;141739,1;141739,1;29;37;0;0;1;0;0
13018;13;Cabannes;4357;20;87;4,80%;oui;100;;82341,84;38451,84;1;42;0;36;7;1;0
13019;13;Cabri�s;9011;25;219;5,52%;;;;206012,23;36012,23;19;122;73;0;0;5;0
13021;13;Carry-le-Rouet;6197;25;46;1,50%;oui;136;;370510,75;;0;46;0;0;0;0;0
13022;13;Cassis;7560;25;335;8,70%;oui;78;;285655,56;;0;227;59;45;0;4;0
13023;13;Ceyreste;4178;25;46;2,29%;;;;62375,95;62375,95;14;32;0;0;0;0;0
13026;13;Ch�teauneuf-les-Martigues;13277;25;1039;16,80%;;;;164303,49;164303,49;109;579;89;262;0;0;0
13027;13;Ch�teaurenard;15934;20;991;13,57%;oui;35;;97979,96;97979,96;6;245;90;610;5;33;2
13028;13;La Ciotat;34063;25;4042;20,82%;;;exon�r�e;;;109;869;387;2641;9;20;7
13030;13;Cuges-les-Pins;4922;25;60;2,97%;oui;52;;91171,96;91171,96;0;53;0;4;1;2;0
13032;13;�guilles;7453;25;135;4,02%;oui;64;;254895,85;254895,85;0;70;0;62;1;2;0
13033;13;Ensu�s-la-Redonne;5311;25;21;0,98%;oui;67;;124736,98;;7;14;0;0;0;0;0
13035;13;Eygui�res;6596;25;122;3,99%;;;;88195,19;88195,19;25;89;0;0;0;8;0
13036;13;Eyragues;4178;20;101;5,30%;;;;37606,8;;2;49;12;32;6;0;0
13037;13;La Fare-les-Oliviers;7618;25;115;3,45%;oui;73;;183141,12;;19;93;2;0;0;0;1
13039;13;Fos-sur-Mer;15859;20;1144;18,12%;oui;46;;124317,92;;67;1036;41;0;0;0;0
13040;13;Fuveau;9369;25;183;4,56%;;;;153725,4;;6;137;0;40;0;0;0
13041;13;Gardanne;20616;25;2125;23,57%;;;exon�r�e;;;133;1260;129;595;8;0;0
13042;13;G�menos;6198;25;104;3,77%;oui;60;;369367,52;69367,52;2;102;0;0;0;0;0
13043;13;Gignac-la-Nerthe;9070;25;191;5,05%;oui;76;;184365,67;;30;159;0;2;0;0;0
13044;13;Grans;4319;20;196;9,17%;;;;101794,77;101794,77;32;118;33;12;1;0;0
13045;13;Graveson;4271;20;178;8,85%;;;;30345,28;30345,28;15;92;40;30;1;0;0
13046;13;Gr�asque;4086;25;169;9,48%;oui;92;;94124,39;41625,39;0;56;32;81;0;0;0
13048;13;Jouques;4257;25;170;9,01%;oui;100;;124122;124122;7;160;0;0;0;3;0
13050;13;Lambesc;9261;25;278;6,75%;oui;47;;202571,88;70869,33;22;73;112;60;3;8;0
13051;13;Lan�on-Provence;8473;25;50;1,42%;oui;12;;136143,02;136143,02;5;37;0;0;0;1;7
13053;13;Mallemort;6197;25;227;8,42%;oui;100;;168679,92;168679,92;12;51;60;97;0;0;7
13054;13;Marignane;34405;25;1832;12,79%;oui;38;;442283,1;;128;1000;24;671;0;7;2
13055;13;Marseille;852516;25;79118;20,28%;;;exon�r�e;;;3300;18527;4591;51424;282;389;605
13059;13;Meyrargues;3704;25;185;11,84%;oui;83;;83063,77;83063,77;0;15;0;168;1;1;0
13060;13;Meyreuil;5293;25;207;9,13%;oui;24;;153467,86;153467,86;5;177;15;10;0;0;0
13062;13;Mimet;4536;25;73;4,15%;oui;172;;168808,28;196263,97;0;51;0;17;0;4;0
13066;13;Noves;5293;20;180;7,62%;oui;100;;95390,56;95390,56;1;60;43;62;5;0;9
13069;13;P�lissanne;9601;25;202;4,73%;oui;200;;341138,7;341138,7;5;120;76;0;0;0;1
13070;13;La Penne-sur-Huveaune;6300;25;530;20,32%;;;;23655,8;23655,8;4;149;11;363;2;0;1
13071;13;Les Pennes-Mirabeau;20279;25;639;7,54%;oui;100;;711961,02;316661,02;36;426;23;267;2;4;0
13073;13;Peypin;5397;25;85;3,66%;oui;200;;122319,22;122319,22;15;33;37;0;0;0;0
13074;13;Peyrolles-en-Provence;4751;25;179;8,59%;;;;70965;70965;26;137;14;0;2;0;0
13075;13;Plan-de-Cuques;10896;25;342;7,40%;oui;52;;171424,63;171424,63;0;112;15;214;0;1;0
13080;13;Le Puy-Sainte-R�parade;5379;25;223;10,53%;oui;58;;100467,14;100467,14;0;35;34;154;0;0;0
13081;13;Rognac;11737;25;476;9,29%;oui;89;;400871,65;400871,65;89;157;0;230;0;0;0
13082;13;Rognes;4684;25;89;4,54%;oui;52;;127389,68;;0;33;0;52;4;0;0
13083;13;Rognonas;4024;20;188;10,15%;oui;52;;39836,16;39836,16;0;48;32;98;2;8;0
13085;13;Roquefort-la-B�doule;5148;25;210;9,46%;oui;30;;61866,09;61866,09;31;125;14;40;0;0;0
13086;13;Roquevaire;8693;25;340;8,43%;oui;93;;185250,9;5250,9;40;264;10;0;9;17;0
13087;13;Rousset;4561;25;352;17,69%;;;;93103,05;;11;140;6;192;0;3;0
13088;13;Le Rove;4507;25;253;12,12%;;;;39424,64;39424,64;20;233;0;0;0;0;0
13091;13;Saint-Cannat;5431;25;206;8,83%;oui;52;;114109,46;;10;111;85;0;0;0;0
13092;13;Saint-Chamas;7852;25;401;10,90%;;;;77150,92;77150,92;33;223;43;96;6;0;0
13097;13;Saint-Martin-de-Crau;12072;25;896;15,85%;;;;116035,48;;159;383;85;266;0;3;0
13098;13;Saint-Mitre-les-Remparts;5721;25;96;3,70%;;;;109698,96;94968,23;0;95;0;0;0;0;1
13103;13;Salon-de-Provence;43771;25;4421;22,29%;;;exon�r�e;;;274;967;262;2887;0;13;18
13104;13;Sausset-les-Pins;7703;25;148;3,76%;oui;100;;225772,38;225772,38;24;124;0;0;0;0;0
13105;13;S�nas;6770;25;332;11,76%;oui;29;;77463,78;77463,78;23;150;39;99;3;0;18
13106;13;Sept�mes-les-Vallons;10708;25;696;14,87%;;;;64065,84;63159,84;16;147;44;486;0;3;0
13107;13;Simiane-Collongue;5437;25;147;6,51%;oui;51;;129850,55;129850,55;10;107;0;30;0;0;0
13108;13;Tarascon;13540;25;971;15,61%;oui;48;exon�r�e;;;95;409;56;358;18;5;30
13110;13;Trets;10383;25;338;7,48%;;;;147594,97;;20;275;25;3;6;9;0
13112;13;Velaux;8664;25;230;6,47%;oui;100;;208692,12;188677,12;11;144;75;0;0;0;0
13113;13;Venelles;8278;25;198;5,27%;oui;46;;242517,39;;36;110;36;16;0;0;0
13114;13;Ventabren;4646;25;16;0,74%;oui;200;;260952,43;199355,36;0;0;9;7;0;0;0
13119;13;Carnoux-en-Provence;6764;25;405;14,36%;;;;36006;36006;9;138;18;240;0;0;0
14101;14;Bretteville-sur-Odon;3900;25;318;18,39%;;;;20473;;0;0;0;0;0;0;0
14181;14;Cormelles-le-Royal;4818;25;478;24,34%;;;;3900;;0;0;0;0;0;0;0
14488;14;Ouistreham;9452;25;751;15,69%;;;;105127;;0;0;0;0;0;0;0
14738;14;Verson;3533;25;225;15,69%;;;;20239;;0;0;0;0;0;0;0
15012;15;Arpajon-sur-C�re;6192;20;358;12,42%;;;;26610,90361;;29;88;3;0;0;35;0
15267;15;Ytrac;3986;20;178;10,70%;;;;16146,46233;;15;77;0;1;0;6;0
16138;16;Fl�ac;3613;20;157;9,92%;;;;22957,37;;6;27;0;0;0;1;8
16154;16;Gond-Pontouvre;5892;20;463;16,23%;;;;20504,2;;3;53;0;1;1;2;7
16166;16;L' Isle-d'Espagnac;5267;20;491;19,13%;;;;4032,51;;13;64;0;0;1;1;9
16291;16;Ruelle-sur-Touvre;7436;20;512;14,61%;;;;31734,23;;2;75;10;0;0;3;9
16358;16;Saint-Yrieix-sur-Charente;7124;20;276;8,67%;;;;52363,44;;3;20;17;0;0;1;5
17010;17;Angoulins;3791;25;106;5,89%;;;;64623,1;64623,1;9;55;12;0;0;0;0
17028;17;Aytr�;8948;25;786;17,47%;;;;67309,59;;124;255;86;0;0;3;0
17086;17;Chaniers;3502;20;60;3,64%;;;;27754,58;27754,58;0;0;0;0;0;3;0
17094;17;Ch�telaillon-Plage;5937;25;235;7,27%;;;;119445,9;25945,9;1;16;28;0;0;3;0
17142;17;Dompierre-sur-Mer;5348;25;118;5,06%;;;;69959,72;69959,72;6;105;4;0;0;0;0
17168;17;Fouras;4083;20;117;5,10%;;;;49724,78;49724,78;15;37;1;2;0;1;0
17200;17;Lagord;7236;25;260;8,05%;;;;103648,04;103648,04;3;32;79;0;0;0;0
17264;17;Nieul-sur-Mer;5712;25;279;10,84%;;;;53481,08;;14;104;31;0;0;0;0
